Income,Age,City_Tier,Occupation,Entertainment,Rent,Healthcare,Eating_Out,Groceries,Transport
44637.24964,49,Tier_1,Self_Employed,1536.184255,13391.17489,1546.914539,1651.801726,6658.768341,2636.970696
26858.59659,34,Tier_2,Retired,1050.241738,5371.719318,1137.351325,649.3781027,2818.44446,1543.018778
50367.60508,35,Tier_3,Student,1723.306926,7555.140763,2178.515847,1513.814376,6313.222081,3221.396403
101455.6002,21,Tier_3,Self_Employed,2858.19424,15218.34004,4571.118217,5040.249158,14690.14936,7106.130005
24875.28355,52,Tier_2,Professional,660.1868515,4975.05671,1169.095816,692.827225,3034.329665,1276.155163
24875.61027,57,Tier_2,Self_Employed,751.0168146,4975.122053,1022.295439,1049.067453,3250.067756,1760.164812
106119.6928,53,Tier_2,Self_Employed,2626.771629,21223.93855,3807.098562,4390.905104,12790.39069,6345.738036
55431.34151,40,Tier_2,Professional,1219.684252,11086.2683,2574.449981,1741.913582,8194.48241,3353.001888
20606.73312,32,Tier_1,Retired,418.2338157,6182.019936,830.2370548,688.0598377,3066.86722,1170.790666
46304.79023,30,Tier_2,Student,1016.613164,9260.958047,1649.757514,2040.310666,5065.627032,2500.054847
20706.82234,31,Tier_3,Student,785.2896337,3106.02335,819.0986805,451.4112394,3037.268327,1459.275062
20668.55739,31,Tier_2,Professional,643.1505177,4133.711478,1019.246091,878.8794914,2597.3988,1123.038045
36407.22336,54,Tier_1,Retired,822.8832107,10922.16701,1153.748093,1328.961973,4685.673101,2503.094431
6492.016466,22,Tier_3,Retired,229.8259065,973.8024698,222.648418,309.239688,955.4994258,494.8241919
7547.852726,39,Tier_2,Self_Employed,277.4655546,1509.570545,235.7124857,266.4384249,1032.727434,568.2360359
19132.09628,45,Tier_2,Student,660.7490157,3826.419256,919.4335322,661.7513297,2515.723512,1164.06776
13342.20722,62,Tier_2,Retired,331.7045334,2668.441444,531.5572946,622.272257,1920.104094,961.3796911
38574.64702,21,Tier_2,Professional,1802.739439,7714.929404,1196.044202,1267.553419,5126.823467,2614.478029
14509.13021,55,Tier_1,Student,414.2340655,4352.739064,656.6499363,515.5836354,1506.254004,811.7024918
9692.519676,46,Tier_2,Professional,427.9080997,1938.503935,305.6529262,396.0600612,1306.540654,562.1006412
96903.57353,54,Tier_2,Retired,3879.579166,19380.71471,3956.928477,2829.045122,14257.02911,6271.717336
25042.54908,52,Tier_2,Self_Employed,839.5857771,5008.509816,1066.040319,1098.406426,3170.687116,1947.499843
31665.25254,37,Tier_1,Student,876.0805909,9499.575763,1579.077124,1373.34327,4019.467417,2180.715805
9596.503685,52,Tier_2,Retired,379.4526456,1919.300737,417.0735139,429.7159277,1092.984106,627.3781679
19408.11353,52,Tier_1,Retired,930.2938672,5822.43406,592.6318283,956.5912293,2486.690885,1346.562801
32783.83155,37,Tier_2,Professional,1452.262952,6556.766311,1175.053534,1519.466235,4815.609782,1788.105197
11946.07198,19,Tier_2,Student,497.3062495,2389.214396,404.4367492,475.9294007,1363.786116,641.8882526
40518.38397,35,Tier_3,Retired,1146.628221,6077.757596,1221.912561,1070.64494,6013.173481,3205.856924
18554.01912,47,Tier_2,Self_Employed,773.1859706,3710.803824,795.0787047,674.6884967,2512.974366,1393.711338
23756.17227,59,Tier_2,Student,1039.084352,4751.234454,1068.194935,597.5939205,2635.306938,1579.259696
18538.17449,46,Tier_2,Professional,409.2610161,3707.634898,746.6548569,729.4581326,2506.825232,1186.580174
132028.78,56,Tier_3,Self_Employed,4929.443916,19804.317,5860.840405,5733.445751,15998.74706,7954.561502
29677.80921,39,Tier_1,Retired,1051.781979,8903.342763,1046.757915,769.2249688,3838.256762,1959.413291
12871.66828,46,Tier_2,Retired,564.1075295,2574.333655,556.8798035,281.0616754,1841.395268,1013.270536
57929.87987,63,Tier_2,Retired,2301.159082,11585.97597,1886.006529,1164.427792,6416.198652,3010.576965
11296.83346,27,Tier_2,Retired,456.4327258,2259.366692,503.3062445,553.7724504,1382.734509,763.5608692
35455.8499,37,Tier_3,Professional,1212.454582,5318.377485,1666.032616,951.3330878,4322.425757,2783.748507
6255.501287,33,Tier_2,Self_Employed,301.5197616,1251.100257,244.8792957,234.3452184,841.2850982,457.474951
10367.21624,23,Tier_3,Student,237.3097382,1555.082436,468.3183371,292.2436127,1072.111538,763.019588
35117.03605,34,Tier_1,Retired,905.5224203,10535.11082,1563.448786,1225.257607,3839.294624,2433.646604
54161.51742,23,Tier_1,Self_Employed,2483.219612,16248.45523,1742.975214,1305.236358,6609.118734,4218.097163
34408.10017,39,Tier_2,Self_Employed,821.5414574,6881.620033,1117.515855,1174.115621,4377.812936,2682.867688
27348.96692,35,Tier_3,Self_Employed,836.4614788,4102.345039,1129.630102,1316.557404,2794.207491,1792.021436
23578.00828,49,Tier_2,Self_Employed,492.8129124,4715.601657,893.562024,1147.911971,2880.502788,1706.688999
9192.425129,45,Tier_2,Professional,299.4625476,1838.485026,390.4797661,299.6273518,1204.570197,732.103232
16866.37534,59,Tier_2,Self_Employed,731.2256257,3373.275067,584.3486352,666.2477533,1801.122489,1070.345096
20752.90766,27,Tier_3,Professional,1008.457452,3112.936149,778.7897021,813.8300704,2533.620085,1260.470156
69888.084,58,Tier_1,Professional,2271.866921,20966.4252,2620.609335,2735.514604,9572.315455,3724.988473
39491.75885,39,Tier_2,Retired,922.6150985,7898.351769,1322.000913,1423.67675,4126.187598,2765.2255
7321.134171,45,Tier_2,Student,161.0635593,1464.226834,285.3744235,241.7838503,959.0680672,396.8785379
38879.40038,32,Tier_2,Student,1420.985123,7775.880076,1411.693638,983.0521309,4633.066829,2588.914399
22046.00833,60,Tier_2,Self_Employed,894.4036105,4409.201666,671.8313943,821.0070541,2701.407678,1142.207731
17455.58721,46,Tier_1,Self_Employed,382.1548318,5236.676163,821.50942,365.7331652,2060.140503,1393.73427
48937.22786,24,Tier_3,Student,2009.741161,7340.584179,2284.2675,2342.882005,5099.505377,3419.165909
68442.7069,51,Tier_2,Student,2383.718097,13688.54138,2414.475506,3298.87917,8891.693,3535.360755
63194.76573,49,Tier_2,Professional,2395.131619,12638.95315,2341.207379,3080.397338,7662.303958,4519.100463
15330.17891,19,Tier_2,Self_Employed,738.8277534,3066.035781,757.0732334,336.9095113,2176.943579,1046.603467
23425.55407,43,Tier_1,Student,599.8252655,7027.666222,1032.461327,736.0448385,3200.361402,1660.42586
39103.34944,62,Tier_2,Student,924.5125989,7820.669888,1800.874796,1609.319664,5043.77682,2907.961679
65472.7145,28,Tier_2,Professional,3042.792289,13094.5429,2326.276459,1770.702327,7322.75003,4659.706071
20447.44614,42,Tier_2,Retired,857.3724401,4089.489227,951.6792208,905.6748479,2541.016218,1126.607972
25859.29732,36,Tier_2,Professional,736.9516886,5171.859463,1201.776698,700.5994066,3591.496787,1500.233089
12380.58355,37,Tier_3,Student,305.9491041,1857.087532,601.6007644,261.6422423,1310.759993,688.4013175
11521.69849,50,Tier_2,Self_Employed,483.5450423,2304.339697,558.9452775,340.2846943,1220.527893,821.282331
57467.41202,34,Tier_2,Retired,1270.234044,11493.4824,2054.331203,1853.024783,6376.481645,3566.095673
88782.48633,47,Tier_1,Professional,2167.956392,26634.7459,4132.20361,2448.975763,12812.86412,4607.540091
28320.59517,35,Tier_1,Retired,1358.739689,8496.17855,1083.415211,1018.188332,3552.68416,1829.552312
66955.19739,49,Tier_2,Retired,2558.958261,13391.03948,2548.771268,2279.557805,9963.131504,4248.921973
40065.12286,57,Tier_1,Professional,864.9995272,12019.53686,1895.959044,2000.655923,5780.86859,2679.451492
17905.3863,62,Tier_2,Self_Employed,861.5701941,3581.077259,853.9780172,845.7836258,1996.970705,1385.988244
40057.41765,21,Tier_3,Student,1286.168717,6008.612647,1609.198543,1853.964799,5980.36683,2974.449366
102680.9528,49,Tier_2,Student,4855.340893,20536.19055,3410.523093,2304.442362,12785.34472,7471.971279
29152.37983,36,Tier_2,Self_Employed,1197.841084,5830.475967,931.3790571,859.4263059,4183.831592,1637.961789
104890.013,20,Tier_1,Retired,3890.046471,31467.00391,5070.912025,3415.259083,12984.32307,8099.085218
3689.169254,55,Tier_1,Self_Employed,170.2448759,1106.750776,174.1519551,150.516127,543.4453727,225.0943616
57900.11583,45,Tier_1,Retired,2288.619858,17370.03475,2260.957432,2816.307979,7942.672949,3662.132761
32163.589,55,Tier_2,Professional,725.951558,6432.717799,1217.404715,1491.345203,4065.138571,1640.399671
23617.58357,23,Tier_2,Retired,655.3070862,4723.516715,744.2494591,781.0120299,3188.200315,1642.412631
32285.10579,57,Tier_1,Student,780.1401595,9685.531738,1181.999229,655.1781454,3594.598058,2527.656316
6117.431078,34,Tier_2,Student,195.2397759,1223.486216,196.7885037,250.1181677,873.2405105,353.3844235
25165.14423,59,Tier_2,Retired,968.4531776,5033.028845,1198.343812,1090.722278,2860.213544,1424.720061
39920.3987,22,Tier_2,Student,1142.6352,7984.07974,1930.572959,1878.379756,5176.884618,2228.134768
97857.52727,36,Tier_2,Self_Employed,4002.812888,19571.50545,2988.603205,2144.705486,14635.82855,5794.542796
19817.81354,60,Tier_1,Retired,927.4462342,5945.344062,909.9187875,860.8232776,2034.251007,1433.45702
15711.65038,59,Tier_2,Self_Employed,591.3678157,3142.330075,749.4427214,444.4970426,1706.878705,1182.717022
20081.35448,52,Tier_2,Student,674.9063049,4016.270896,788.4478615,943.0306561,2697.788696,1445.167112
62397.11721,39,Tier_3,Self_Employed,1919.549796,9359.567582,2241.640963,2269.872269,8226.475617,3698.093463
39024.83621,41,Tier_1,Retired,1038.228774,11707.45086,1789.24393,1061.098821,5315.63425,2716.790172
19636.4831,27,Tier_2,Self_Employed,512.7852919,3927.29662,728.3598873,958.8480456,1982.786437,1337.528556
45232.29524,19,Tier_1,Self_Employed,1125.548611,13569.68857,1634.428725,2231.073946,6066.899047,2926.367477
32422.72031,45,Tier_2,Student,1095.61817,6484.544062,1376.861228,1548.146898,4768.254915,2125.864144
65112.29366,58,Tier_1,Student,3059.930631,19533.6881,2382.888189,2278.296979,7816.554217,4281.673656
17108.14912,54,Tier_1,Retired,693.6755074,5132.444735,679.2601287,383.3001522,2130.115851,948.7875126
23082.33634,34,Tier_2,Retired,604.7578172,4616.467268,1060.613366,938.6188159,3116.627006,1796.621007
21922.44196,23,Tier_2,Student,600.2347712,4384.488392,686.2522745,1020.501819,3157.33771,1536.220836
9303.451154,60,Tier_2,Professional,233.4399667,1860.690231,440.6826252,399.3784411,1280.846974,715.3665825
38019.28775,22,Tier_2,Student,904.1898328,7603.85755,1354.768411,1505.180555,5630.321251,2250.119663
36967.59061,56,Tier_2,Professional,1723.955507,7393.518123,1839.215654,1371.889596,5063.19555,2305.097366
30122.97432,24,Tier_2,Self_Employed,1172.222409,6024.594863,954.7962587,1467.880403,3443.917447,1815.038914
24866.65315,49,Tier_1,Retired,689.2839725,7459.995945,1020.50474,1225.300322,3600.207432,1877.64713
9668.766946,21,Tier_2,Self_Employed,283.7402945,1933.753389,320.5652938,380.8227239,1212.548991,654.2762031
21427.62813,38,Tier_2,Self_Employed,652.7355252,4285.525626,717.2990869,600.2407675,3126.66756,1220.819789
22806.0481,59,Tier_2,Student,882.1321337,4561.209621,833.3778643,751.983449,2355.523444,1488.174206
